Test Type,Accuracy,Precision,Label 1 Precision,Label 2 Precision,Label 3 Precision,Label 4 Precision,F1 Score
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,0.92,0.9375,0.75,1.0,1.0,1.0,0.9285714285714286
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,0.84,0.75,0.0,1.0,1.0,1.0,0.7083333333333333
MPC,0.92,0.9285714285714286,0.7142857142857143,1.0,1.0,1.0,0.9305555555555556
MPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,0.48,0.5,0.0,0.0,1.0,1.0,0.346969696969697
MPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,0.28,0.25,0.0,0.0,0.0,1.0,0.25
MPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,0.24,0.25,0.0,0.0,0.0,1.0,0.25
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
